Locatienaam,Eenheid,Plaats,Gemeente,Latitude,Longitude,,Argus,,1,,2,,3,,4
N206 x 5 Meiln ri Katwijk,Den Haag,Leiden,Leiden,52.1469,4.47531,Ja,,x,,,,,,,
07 Erasmusbrug NZ,Rotterdam,Rotterdam,Rotterdam,51.912061,4.482037,Ja,,,,x,,,,x,
07 Erasmusbrug ZN,Rotterdam,Rotterdam,Rotterdam,51.908696,4.488081,Ja,,,,x,,,,x,
N217 Prov. weg x A29,Rotterdam,Heinenoord,Binnenmaas,51.818174,4.488557,Ja,,x,,x,,,,x,
N217 Prov. weg x A29 RD,Rotterdam,Heinenoord,Binnenmaas,51.818237,4.488653,Ja,,,,x,,,,x,
07 Willemsbrug NZ,Rotterdam,Rotterdam,Rotterdam,51.917316,4.492004,Ja,,,,x,,,,x,
07 Willemsbrug ZN,Rotterdam,Rotterdam,Rotterdam,51.917898,4.492591,Ja,,,,x,,,,x,
N217 x Reedijk ri Puttershoek,Rotterdam,Heinenoord,Binnenmaas,51.81436,4.4942,Ja,,,,x,,,,x,
N217 x Reedijk ri A29,Rotterdam,Heinenoord,Binnenmaas,51.8137,4.4955,Ja,,,,x,,,,x,
07 Vaanweg x V. Hugoweg,Rotterdam,Rotterdam,Rotterdam,52,4.511389,Ja,,,,x,,,,x,
07 Kilweg West ri Ikea,Rotterdam,Barendrecht,Barendrecht,51.84431,4.511569,Ja,,x,,x,,x,,x,
07 Kilweg West ri oprit A29,Rotterdam,Barendrecht,Barendrecht,51.84431,4.511569,Ja,,x,,x,,x,,x,
A29 Li 13.1 Heinenoord,Rotterdam,Barendrecht,Barendrecht,51.839671,4.514719,Ja,,x,,x,,,,x,
A29 Re 13.1 Heinenoord,Rotterdam,Barendrecht,Barendrecht,51.839622,4.514873,Ja,,x,,x,,,,x,
