Naam,Locatie (straat),Locatie (GPS Latitude),Locatie (GPS Longtitude),Tijdigheid camera,Geplaatst op,Wordt verwijderd op,Eigenaar camera,Afdeling,Doel van de camera,Omschrijving
UTR-OOR-002,Vredenburg - St. Jacobstraat (tijdelijk),52.09298,5.114277,Tijdelijk,01/07/2020,30/04/2022,Gemeente Utrecht,OOR,Visuele inspectie op afwikkeling verkeer,Live beelden worden beoordeeld om onveilige situatie waar te nemen en na onderzoek acties te kunnen toepassen.
UTR-SB-125,Vredenburg 46,52.09277,5.11421,Vast,,,Gemeente Utrecht,VgE,Bescherming eigendommen / personen,Bereikbaarheid: Vredenburg
UTR-CM-554,Catharijnesingel / Spoorstraat,52.09024,5.11411,Vast,,,Gemeente Utrecht,,Centraal Toezicht Openbaar Vervoer,nvt
UTR-CM-751,Bemuurdeweerd / Adelaarstraat,52.09848,5.11403,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-CM-518,Vredenburgplein / Hollandse Toren,52.09234,5.11401,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-SB-135,Weerdsluis,52.09850,5.11387,Vast,,,Gemeente Utrecht,BOR,Veilig gebruik brug,Bruggen: Stenen brug (Weerdsluis)
UTR-SB-129,LangeKoestraat 14,52.09348,5.11366,Vast,,,Gemeente Utrecht,VgE,Bescherming eigendommen / personen,Bereikbaarheid: Lange koestraat
UTR-VTH-214,Oudenoord 1,52.09705,5.11318,Vast,,,Gemeente Utrecht,,Handhaving,Milieuzone
UTR-SB-128,Stationsplein 7,52.08905,5.11307,Vast,,,Gemeente Utrecht,VgE,Bescherming eigendommen / personen,Bereikbaarheid: Jaarbeursplein
UTR-CM-527,Stationsplein / Moreelsepark,52.08874,5.11306,Vast,,,Gemeente Utrecht,OOV,Openbare Orde & Veiligheid,nvt
UTR-SB-126,Stationsplein 69,52.08974,5.11249,Vast,,,Gemeente Utrecht,VgE,Bescherming eigendommen / personen,Bereikbaarheid: Hoog Catharijne
UTR-SB-127,Catharijnesingel 28,52.09168,5.11194,Vast,,,Gemeente Utrecht,VgE,Bescherming eigendommen / personen,Bereikbaarheid: Laag Catharijne
UTR-PAR-926,Fietspad Vliegendhertlaan Beneluxlaan,52.06687,5.111703,Vast,,,Particulier,,Particuliere camerabewaking,nvt
UTR-SB-134,David van Mollemstraat,52.10080,5.11161,Vast,,,Gemeente Utrecht,BOR,Veilig gebruik brug,Bruggen: David van Mollembrug
